x,y,rz,z
332255.0074,4208040.955,15,1.176091259
332657.1749,4210530.16,16.99999999,1.230448921
333736.677,4211397.995,20.00000002,1.301029996
334541.012,4212498.664,19,1.278753601
333080.509,4213578.166,20.00000002,1.301029996
336065.015,4214361.335,15,1.176091259
322010.3202,4215440.837,11,1.041392685
323788.3238,4215885.338,12.99999999,1.113943352
327323.1642,4217155.34,20.00000002,1.301029996
331747.0064,4215716.004,22.00000001,1.342422681
331239.0054,4218383.009,22.00000001,1.342422681
333906.0107,4219039.177,24.00000002,1.380211242
336149.6818,4219060.344,16.99999999,1.230448921
337292.6841,4214932.836,14.00000001,1.146128036
331387.1723,4221240.515,12.99999999,1.113943352
328317.9995,4219928.179,18,1.255272505
330879.1713,4224627.188,12,1.079181246
331069.6717,4227251.86,12,1.079181246
326984.4968,4225918.358,14.00000001,1.146128036
322666.4882,4226405.192,5.999999995,0.77815125
323343.8229,4223949.854,8.999999991,0.954242509
322497.1545,4222595.184,8,0.903089987
335811.0145,4228881.697,10,1
318615.9947,4234114.878,1,0
325093.0077,4232844.875,8,0.903089987
330046.0176,4237459.218,8.999999991,0.954242509
331146.6864,4238983.221,10,1
330850.3525,4241226.892,8,0.903089987
331993.3548,4243385.896,8.999999991,0.954242509
333517.3578,4241480.893,8.999999991,0.954242509
340375.3716,4224335.858,25.00000002,1.397940009
342661.3761,4228188.199,12,1.079181246
340121.371,4233225.876,11,1.041392685
338682.0348,4244317.232,11,1.041392685
330257.6847,4248762.241,7,0.84509804
332162.6885,4249100.908,7,0.84509804
344566.3799,4252191.247,5.999999995,0.77815125
352609.7294,4256763.257,3.499999997,0.544068044
348771.4995,4297156.393,2.000000002,0.301029996
315170.7178,4205340.366,2.000000002,0.301029996
318685.5357,4199131.788,3.000000002,0.477121255
318609.3356,4199563.588,1,0
319151.2033,4200080.056,5.999999995,0.77815125
319058.0698,4200715.057,8,0.903089987
319218.9368,4197582.384,15,1.176091259
319777.7379,4198259.719,31.99999998,1.505149978
318575.4688,4201053.725,10,1
318533.1354,4201324.659,4.999999996,0.698970004
318524.6687,4201985.06,2.000000002,0.301029996
319769.2712,4201790.326,20.00000002,1.301029996
319643.1176,4202574.129,15,1.176091259
320983.4995,4201069.706,47.99999996,1.681241237
320422.5817,4196365.405,33.00000001,1.51851394
320030.9976,4198767.826,64,1.806179974
320329.4482,4199263.127,64,1.806179974
320627.8988,4199434.577,74.99999993,1.875061263
321186.6999,4199555.228,70,1.84509804
320888.2493,4199066.277,95.99999999,1.982271233
323555.2546,4201295.131,112.0000001,2.049218023
322181.5352,4200319.169,120,2.079181246
321006.7829,4198731.666,102.0000001,2.008600172
321140.1331,4198484.016,210.0000001,2.322219295
320943.2827,4197620.414,129.9999999,2.113943352
321298.8834,4197518.814,129.9999999,2.113943352
320835.3325,4197125.113,91.99999993,1.963787827
321267.1334,4196604.412,128.0000001,2.10720997
321825.9345,4198445.916,169.9999999,2.230448921
323699.1883,4199601.618,215.9999999,2.334453751
322530.7859,4199728.618,155.9999999,2.193124598
324277.0394,4198693.566,221.9999998,2.346352974
324435.7897,4199569.868,196.9999999,2.294466226
325134.2911,4200300.119,150,2.176091259
325153.3412,4200585.87,117.9999999,2.071882007
326309.0435,4199620.668,124,2.093421685
326797.9944,4198890.416,120,2.079181246
326886.8946,4200547.77,80,1.903089987
327312.3455,4201024.021,83.99999999,1.924279286
327293.2954,4196648.862,74.00000005,1.86923172
328398.1976,4201411.372,54.00000002,1.73239376
326734.4943,4195543.96,71.99999993,1.857332496
327763.1964,4194959.759,43.99999995,1.643452676
325352.7316,4194210.457,89.99999991,1.954242509
326358.5736,4194459.378,68.00000005,1.832508913
326185.8532,4193738.016,34.99999997,1.544068044
325246.0513,4193834.536,45.00000002,1.653212514
325235.8913,4195124.859,120,2.079181246
324524.6899,4194784.498,120.9999999,2.08278537
323691.5682,4193626.256,67.00000005,1.826074803
323457.8878,4193580.536,59.99999995,1.77815125
323656.0082,4193966.617,93.0000001,1.968482949
322924.4867,4194210.457,72.99999998,1.86332286
327317.2562,4193503.15,34,1.531478917
328798.9258,4192165.414,10,1
329232.928,4194353.646,18,1.255272505
329192.138,4199272.969,26,1.414973348
331267.63,4206928.519,18,1.255272505
331489.8804,4205393.932,21.00000001,1.322219295
328611.208,4204166.263,36.00000002,1.556302501
327468.2057,4203732.345,46.00000003,1.662757832
327626.9561,4203330.178,47.99999996,1.681241237
330230.4613,4204706.014,18,1.255272505
323585.9403,4200509.487,150,2.176091259
321774.07,4198765.35,100,2
321638.603,4197478.414,154.9999999,2.190331698
323382.7399,4194210.275,95.99999999,1.982271233
321875.6702,4196648.679,232.0000001,2.365487985
321672.4698,4197055.08,260,2.414973348
322061.9372,4197004.28,349.9999997,2.544068044
322282.071,4196648.679,413.9999999,2.617000341
323596.7607,4194987.92,560,2.748188027
321406.0063,4197210.425,140.0000001,2.146128036
323031.6096,4198874.128,250.0000002,2.397940009
320150.637,4210196.218,12,1.079181246
314066.0718,4209862.428,3.000000002,0.477121255
323547.5832,4194258.689,102.0000001,2.008600172
320894.3814,4196650.716,49.99999996,1.698970004
323583.242,4194774.694,200.0000002,2.301029996
312945.3275,4209565.238,0.5,-0.301029996
